1	1	12	0.038201666	0.270257680
1	2	36	0.015309189	0.159104545
1	3	80	0.002375825	0.019475842
1	4	150	0.000743430	0.008192145
1	5	252	0.000137237	0.001578332
1	6	392	0.000014253	0.000215609
1	7	576	0.000004207	0.000068747

0.5	1	96	0.022889968	0.176964123
0.5	2	288	0.002266936	0.035197405
0.5	3	640	0.000300418	0.003839852
0.5	4	1200	0.000023989	0.000507879
0.5	5	2016	0.000002253	0.000047613
0.5	6	3136	0.000000170	0.000005035
0.5	7	4608	0.000000014	0.000000412

0.25	1	768	0.006882627	0.086174963
0.25	2	2304	0.000475131	0.008705992
0.25	3	5120	0.000019516	0.000476447
0.25	4	9600	0.000000919	0.000031254
0.25	5	16128	0.000000037	0.000001488
0.25	6	25088	0.000000002	0.000000077

0.125	1	6144	0.001788929	0.042004864
0.125	2	18432	0.000115874	0.002162542
0.125	3	40960	0.000001202	0.000058611
0.125	4	76800	0.000000047	0.000001933

0.0625	1	49152	0.000445635	0.020696728
0.0625	2	147456	0.000028742	0.000538848	
